; EV[European Go Congress 1993 - Main tournament]
; PC[CZ, Prague]
; DT[1993-07-24,1993-08-07]
; Pl Name                   Cy   Gr   1    2    3    4    5    6    7    8    9   10  MM  Pt CUSS
  54 Kraszek Janusz                 5D PL  xxx     24     5   233      0=      0=      0=      0=      0=     29-     87+      0=      0=      0=
  55 Watanabe Keiko                 5D JP  xxx     24     5   233      0=      0=      0=      0=      0=     45-     78+     74+     37-     73+
  56 Lavallou S                     3D FR  xxx     24     6   233     91+     73-      0+      0+     25-     64+     13-     85+     51+     28-
  57 Lounela Olli                   3D FI  xxx     24     6   232      0-      0+     35+      0+     27-     87+     40-     69+     72+     24-
  58 Kaitschick Stefan              3D DE  xxx     24     6   232     96+     72-      0+     87+     14-     73+     15-      0+     42-     86+
  59 Kuhar Velimir                  5D HR  xxx     24     5   231     45+     16-     42-     46-     93+     52-      0-      0+      0+     89+
  60 Pop Cristian                   4D RO  xxx     24     5   231     21-     14-     65+     83+     26-     91-      0+     50-      0+     99+
  61 Cann Desmond                   4D UK  xxx     24     5   231     18-     87-     93+     76-      0+     88+     30-     52-      0+     96+
  62 Ehlers Georg                   3D DE  xxx     24     6   230     95-     69-      0+      0+      0+      0+     74+     21-     71+     22-
  63 Zou Hao-Jiang                  4D CN  xxx     24     5   229     11-     47-     69+     12-     89+     51-      0-      0+      0+     92+
  64 Wiersma Ruurd                  3D NL  xxx     24     6   229     90+     51+     30-     48-     98+     56-     68-      0+      0+     95+
  65 Lugol Xavier                   3D FR  xxx     24     6   229      0=     67+     60-      0+      0+     78+      9-      0=      0=      0=
  66 Rupel Mirko                    3D SI  xxx     24     6   228      0+     23-      0+     32-     67-      0+     92+     75-      0+     76+
  67 Diepen Niek_van                3D NL  xxx     24     6   226     88-     65-      0+      0+     66+     47-     86+     73-     91+     85+
  68 Bergmann Martin                3D DE  xxx     24     6   226      0=      0=      0=      0=      0=      0=     64+     44-     78+     71+
  69 Meyenschein Marco              2D DE  xxx     24     7   224      0+     62+     63-      0-      0+      0+     88+     57-      0+     75+
  70 Knopfle Walter                 4D DE  xxx     23     4   237     23+      3-     48+     40-      0+     12-     50+     29-     49-      0=
  71 Cipra Petr                     5D CZ  xxx     23     4   236      5-      0+     79+     16-     51+     20-     91+     26-     62-     68-
  72 Seailles Jeff                  5D FR  xxx     23     4   235     74-     58+     13+     21-     46-     99+     51+     25-     57-      0=
  73 Pliouchtch Yuri                5D UA  xxx     23     4   233     26-     56+      0+     10-     12-     58-    100+     67+     46-     55-
  74 Koopman Rob                    4D NL  xxx     23     4   233     72+     36-     39-     98+     45+     17-     62-     55-     53-      0+
  75 Koranda Tomas                  4D CZ  xxx     23     4   233      8-     76-      0+     94+     78+     11-     41-     66+     43-     69-
  76 Behnke Uwe                     4D DE  xxx     23     4   232     24-     75+     27-     61+     13-     53-      0+      0+     40-     66-
  77 Firnhaber Marco                4D DE  xxx     23     4   230     29-     34-     95+     47+     28-      0=      0=      0=      0=      0=
  78 Urziceanu Valentin             4D RO  xxx     23     4   230     33+      1-     40-     90+     75-     65-     55-    100+     68-      0+
  79 Csizmadia Gyorgy               4D HU  xxx     23     4   230      9-     46+     71-     88+     41-     50-      0+     93-      0-      0+
  80 Gaspari Peter                  4D SI  xxx     23     4   229     10-      0-      0+     28-     92+      0=      0=      0=      0=      0=
  81 Cieply Martin                  4D CZ  xxx     23     4   229     13-     33-      0+     34-     95+     15-      0+      0-      0+     53-
  82 Gubas Xaver                    4D CS  xxx     23     4   229      6-      0=      0=      0=      0=      0=      0=      0=      0=      0=
  83 Soletti Ramon                  3D IT  xxx     23     5   229     92+      0+     26-     60-     97+     34-      0+     35-     98+     50-
  84 Zandveld Peter                 4D NL  xxx     23     4   228      7-     95+     43-     52-      0+     85-     96-      0+     88-      0+
  85 Hornbek Kasper                 3D DK  xxx     23     5   228      0+     39-     88-      0+      0+     84+     34-     56-     97+     67-
  86 Wang Stanley                   4D NZ  xxx     23     4   227     12-      0-     96+     13-     90-      0+     67-      0+      0+     58-
  87 Nechanicky Vitezslav           4D CZ  xxx     23     4   227      4-     61+     38-     58-      0+     57-     54-      0-      0+      0+
  88 Wolff Martin                   3D DE  xxx     23     5   227     67+     41-     85+     79-      0+     61-     69-      0+     84+     48-
  89 Pechoux Francois               3D FR  xxx     23     5   226     97-      0+     51-      0+     63-      0+     90+      0+     34-     59-
  90 Feldmann Denis                 3D FR  xxx     23     5   226     64-      0+     97+     78-     86+     48-     89-      0+      0+     44-
  91 Clare Jim                      3D UK  xxx     23     5   225     56-      0-      0+      0+     94+     60+     71-     45-     67-      0+
  92 Valasck Petr                   3D CZ  xxx     23     5   225     83-      0+      0+      0-     80-      0+     66-      0+      0+     63-
  93 Splettstosser P                2D DE  xxx     23     6   225      0+      0+     61-      0+     59-      0+      0+     79+     32-     51-
  94 Nonoyama Akihiko               4D DE  xxx     23     4   224     16-     42-      0+     75-     91-    100-      0+      0-      0+      0+
  95 Ghioc Adrian-Romeo             3D RO  xxx     23     5   224     62+     84-     77-      0+     81-      0-      0+      0+      0+     64-
  96 Rutgers_vdL Arnoud             3D NL  xxx     23     5   224     58-      0+     86-      0-      0+      0+     84+     42-      0+     61-
  97 Hall T_Mark                    3D UK  xxx     23     5   224     89+     31-     90-      0+     83-      0+      0-      0+     85-      0+
  98 Dzaebel Frank                  3D DE  xxx     23     5   224      0-      0+      0+     74-     64-      0+      0-      0+     83-      0+
  99 Wettach Alain                  1D BE  xxx     23     7   223      0+      0+      0+      0+      0+     72-      0+     41+     10-     60-
 100 Large Stefan                   3D DE  xxx     23     5   222      0=      0=      0=      0=      0=     94+     73-     78-      0+      0+
