; EV[European Go Congress 1984 - Main tournament]
; PC[CH, Porrentruy]
; DT[1984-07-21,1984-08-04]
;Pl Name                  Str Co  Win   1    2    3    4    5    6    7    8    9  
  62 Parimbelli Sergio              2k IT  xxx      6      0-     94+     72+     93+     50-     78+      0-     80+     61-
  63 Mutabzija Zoran                5d YU  xxx      1      6-     34+     15-      7-      0=      0=      0=      0=      0=
  64 Gaboly Michel                  1d FR  xxx      0      0=      0=      0=      0=      0=      0=      0=      0=      0=
  65 Smid O.                        3k AT  xxx      6      0+     77+     79-      0+     66+     43-     94+     72-     78+
  66 Von Boetticher                 3k DE  xxx      6      0+     78-     92+      0+     65-      0+     72-     82+      0+
  67 Michaelis D.                   3k CH  xxx      6      0-      0+     96-     90+     59-     77+     69-     93+     83+
  68 X X                            3k XX  xxx      0      0=      0=      0=      0=      0=      0=      0=      0=      0=
  69 Schumacher J.                  2k DE  xxx      4     81+     82-      0+      0-     79-      0-     67+     56-     80+
  70 Gillward Jens                  1k DE  xxx      4      0=      0=      0=      0=      0=      0=      0=      0=      0=
  71 Boogerd Paul                   1k NL  xxx      4     83+     42-     56-     78-     82+     84+     81+     49-     53-
  72 Paul-Cavallier Marcel          1k FR  xxx      4     41-     54-     62-     83+     80+      0-     66+     65+     56-
  73 Bergisch Frans                 1k NL  xxx      4      0-     79+      0+     43+     41-      0-     56+      0=      0=
  74 Lemage A.                      1d FR  xxx      3      0=      0=      0=      0=      0=      0=      0=      0=      0=
  75 Feldmann Denis                 2d FR  xxx      2     32-     57-     86+     30-     61+      0=      0=      0=      0=
  76 Koopman Rob                    4d NL  xxx      0     23-     17-     20-      0=      0=      0=      0=      0=      0=
  77 Petrovic Dragoljub             3k YU  xxx      5     92+     65-     94-      0+      0-     67-      0+      0-     93+
  78 Riedeman Dick                  2k NL  xxx      4     52-     66+      0+     71+     53-     62-     79+     61-     65-
  79 Pierre Jacques                 2k FR  xxx      4      0+     73-     65+     53-     69+     81-     78-     89+     60-
  80 Edwards D.                     2k UK  xxx      4     53-      0+     81+     84-     72-     83+      0+     62-     69-
  81 Ansell Jeff                    2k UK  xxx      4     69-      0+     80-     94+     93+     79+     71-     46-     84-
  82 Nassiokas G.                   1k DE  xxx      3     55-     69+     52-      0-     71-     94-     93+     66-      0+
  83 Breva M.                       1k ES  xxx      3     71-     93-     53-     72-      0+     80-      0+     94+     67-
  84 Weimer D.                      1d US  xxx      3     58-     41-      0-     80+     86-     71-      0+     53-     81+
  85 Lounela Olli                   2k FI  xxx      4      0=      0=      0=      0=      0=      0=      0=      0=      0=
  86 Warnarr Walthar                1d NL  xxx      2     26+     58-     75-     52-     84+      0=      0=      0=      0=
  87 Butler Simon                   2k UK  xxx      1      0=      0=      0=      0=      0=      0=      0=      0=      0=
  88 Jospin L.                      6k CH  xxx      7     99+      0+      0+      0-      0+      0+     89-      0+      0+
  89 Allemann Frederic              5k FR  xxx      6      0-      0+     90-      0+     99+      0+     88+     79-    100+
  90 Kulla B.                       4k DE  xxx      5      0+      0-     89+     67-     96-      0+      0+     92-      0+
  91 Bizard Philippe                3k FR  xxx      4      0=      0=      0=      0=      0=      0=      0=      0=      0=
  92 Ribes Christophe               3k FR  xxx      4     77-      0-     66-      0+      0+      0+      0-     90+     82+
  93 Klemm Guenther                 2k DE  xxx      4     94+     83+     54-     62-     81-      0+     82-     67-     77-
  94 Groot Ger_de                   2k NL  xxx      3     93-     62-     77+     81-      0+     82+     65-     83-      0-
  95 Pernoud Jean-Pierre            5k FR  xxx      4      0+      0+      0-     90+      0+      0=      0=      0=      0=
  96 Schauwecker P.                 4k CH  xxx      3      0+      0+     67-      0-     90+      0=      0=      0=      0=
  97 Betherlet D.                   1k FR  xxx      1     62+      0+     28-      0=      0=      0=      0=      0=      0=
  98 Lebert Bernard                 3k FR  xxx      1      0=      0=      0=      0=      0=      0=      0=      0=      0=
  99 Jaeda Y.                       6k US  xxx      6     88-      0+    100+      0+     89-      0+      0+      0+      0-
 100 Perlo-Freeman Sam              6k UK  xxx      6      0+      0-     99-      0+      0+      0+      0+      0+     89-
