; EV[40th European Go Congress 1995 - Main tournament]
; PC[PL, Tuchola]
; DT[1995-07-22,1995-08-05]
;
;Pl  Name                Cy   Gr    1    2    3    4    5    6    7    8    9   10    MM Pt  SOS SODOS
  52 Yoshinori Jike                 4D JP  xxx     28     5   138    81      0=      0=      0=      0=      0=     46-     86+     38+     20-     59+
  53 Kai Naoyuki                    6D JP  xxx     28     5   136    81      0=      0=      0=      0=      0=     62-     68+     46-     64+     63+
  54 Heshe Thomas                   5D DK  xxx     28     5   134    79      0=      0=      0=      0=      0=     36-     70-     89+     68+      0+
  55 Kachevnik Michel               4D RU  xxx     28     5   115    57      0=      0=     16+      9-     40-     42+      0=      0=      0=      0=
  56 Watanaba Kenjichi              6D JP  xxx     28     5    56    27      0=      0=      0=      0=     14-     78+      0=      0=      0=      0=
  57 Budig Stefan                   4D DE  xxx     27     4   289   110      1-     62+     91+     11-     22+     34+      3-     24-     41-     49-
  58 Jipp Thomas                    4D DE  xxx     27     4   287   115      6+     11+     20-     43+     50-     66+     23-     18-     26-     48-
  59 Holecek Jiri                   4D CZ  xxx     27     4   279   106     34-      6-     70+     78+      0+     14-     13-     88+     19-     52-
  60 Laatikainen Vesa               5D FI  xxx     27     4   278   110     45-     27+     12-     32-     70+     49+     20-     66-     67-     95+
  61 Spit Rinus                     3D NL  xxx     27     5   276   136      0-      0+     27+     46+     42+     13-     18-     44-     49-     92+
  62 Rutgers_vd_Loeff A             3D NL  xxx     27     5   276   136     74+     57-     67+     41-     75+     53+     33-     65+     25-     32-
  63 Almuchametov Ildar             5D RU  xxx     27     4   276   107     21+      2-     23-     81-     72-     92+     88-      0+     79+     53-
  64 Rasmussen Jannik               4D DK  xxx     27     4   273   105     30-     72+     38-     26-     83-      0+     93+     40-     53-     99+
  65 Mechura Jan                    4D CZ  xxx     27     4   272   104      9-     46-     97+     16-     67-     90+    100+     62-     76-     94+
  66 Hollmann Henk                  2D NL  xxx     27     6   271   159      0+      0+     82+     38+     32-     58-     73+     60+     21-     47-
  67 Goghaltsan V                   2D RU  xxx     27     6   269   156      0+     75+     62-     97+     65+     22-     26-     99+     60+     34-
  68 Goedhart Rene                  2D NL  xxx     27     6   269   156     90+      0+     73+     86+     31-     17-     53-    100+     54-     98+
  69 Lubos Jan                      3D PL  xxx     27     5   268   132      0-      0-     77+      0+     27-      0+     78+     42-     84-     90+
  70 Boulachevitch K                3D RU  xxx     27     5   268   131     82-      0+     59-      0+     60-      0+     54+     43-      0+     33-
